PM2.5,PM10,NO2,SO2,CO,O3,Temp_C,Humidity,AQI
29.7,52.56,72.9,42.79,0.95,40.04,26.4,73.2,80.0
156.73,262.02,17.04,34.46,2.48,15.24,28.1,55.1,310.0
115.96,145.37,19.89,40.32,0.97,17.43,37.4,74.4,203.0
66.25,96.1,49.79,13.11,2.26,68.62,26.8,59.5,156.0
20.8,35.94,83.19,28.5,2.67,26.79,24.6,61.8,101.0
62.87,111.08,55.4,33.05,0.92,23.65,24.4,69.2,141.0
65.28,96.64,52.34,32.2,0.4,45.34,28.2,40.8,124.0
134.03,210.17,22.91,21.33,0.63,63.81,33.7,69.4,250.0
118.38,153.93,64.26,5.62,2.2,14.34,23.7,67.8,241.0
160.83,288.63,76.66,28.32,3.0,50.38,32.8,53.9,342.0
90.28,120.88,43.53,15.12,0.35,18.34,20.4,43.9,165.0
30.33,53.55,73.17,23.01,2.62,12.55,27.5,44.1,100.0
131.25,208.66,87.34,43.3,1.33,13.69,34.0,81.5,267.0
139.33,218.01,30.28,20.96,1.78,68.39,26.1,71.0,266.0
105.42,158.93,54.25,38.59,3.27,18.26,30.1,45.7,239.0
141.06,188.8,36.54,12.54,1.3,13.16,23.7,56.1,258.0
93.95,122.68,74.46,31.9,1.74,40.65,33.4,66.7,189.0
98.86,131.72,58.32,44.08,0.25,69.08,20.9,77.6,186.0
82.68,108.47,62.59,9.08,0.47,28.37,35.3,42.0,152.0
14.32,23.88,74.84,5.33,1.05,39.52,23.6,50.6,62.0
28.34,39.96,44.7,22.34,0.29,12.79,35.7,80.0,60.0
15.34,18.94,83.63,8.71,2.28,41.44,26.3,40.4,75.0
118.19,210.55,54.98,34.94,1.61,50.43,33.0,49.1,253.0
63.44,109.77,26.85,41.58,2.01,49.96,25.7,83.2,148.0
96.46,169.44,67.19,22.36,0.78,33.27,36.3,67.6,210.0
164.29,295.21,74.49,15.35,1.18,32.09,22.3,51.8,335.0
52.38,68.32,38.76,22.38,2.39,17.46,23.2,43.0,127.0
79.77,114.68,79.29,33.94,3.39,35.68,28.9,41.3,196.0
138.44,229.12,82.96,5.36,0.37,16.96,21.5,51.0,274.0
48.9,79.09,35.77,28.58,3.14,63.66,23.5,79.7,136.0
23.09,29.84,88.76,29.53,2.1,77.64,37.0,58.7,89.0
59.26,100.12,25.55,30.51,2.06,77.91,37.6,72.4,129.0
37.41,49.93,30.15,14.68,1.85,70.55,26.8,81.3,94.0
168.05,224.23,28.82,33.56,0.43,52.06,36.6,58.4,290.0
147.38,224.34,82.05,8.66,0.5,59.06,29.8,48.6,279.0
117.68,183.08,64.07,12.97,2.18,29.96,24.9,63.3,242.0
158.15,244.82,26.41,40.1,1.33,54.15,32.6,80.9,303.0
146.62,184.0,48.02,34.55,3.23,41.9,31.9,76.2,290.0
41.72,72.02,61.15,5.55,1.54,43.74,37.8,43.0,110.0
161.74,219.86,21.26,14.94,0.67,63.04,24.8,71.2,275.0
101.69,129.93,81.18,13.58,2.56,29.73,32.1,65.7,215.0
147.26,255.25,75.27,15.83,1.17,32.26,20.9,80.8,307.0
162.34,287.88,52.89,14.9,1.93,74.72,22.0,45.5,333.0
64.06,110.01,87.53,7.5,2.5,13.94,20.1,64.0,168.0
28.71,48.39,46.33,23.36,3.17,43.99,38.0,79.6,105.0
48.75,77.66,88.81,34.31,2.81,73.9,34.4,58.5,141.0
82.61,126.43,65.09,29.27,2.43,52.73,34.2,61.7,198.0
149.06,186.65,62.6,31.91,2.44,48.25,29.2,43.2,293.0
156.32,225.9,27.45,8.25,3.32,27.48,25.4,52.5,308.0
11.18,15.92,81.14,43.06,1.18,34.03,22.7,54.6,54.0
96.83,131.28,47.06,38.54,0.2,69.64,25.1,82.5,162.0
80.96,132.29,27.17,37.2,1.1,49.15,26.8,52.7,156.0
47.76,71.52,15.95,37.92,0.92,46.03,33.6,60.7,90.0
30.38,37.93,56.98,42.31,2.38,16.97,29.7,70.2,95.0
67.39,89.78,54.55,26.77,2.29,11.12,21.4,47.3,152.0
170.29,274.17,68.95,13.01,2.16,77.46,20.3,61.9,337.0
64.94,80.9,81.77,29.67,0.25,36.39,21.8,73.2,130.0
98.19,167.98,20.96,34.72,2.6,52.22,27.4,79.0,215.0
129.51,193.89,69.86,34.52,1.27,15.58,36.8,68.2,259.0
71.82,106.89,29.06,25.86,2.39,57.82,31.5,70.1,150.0
175.2,272.52,79.36,7.74,2.04,75.28,34.4,45.7,349.0
173.62,294.25,76.43,19.84,1.33,50.3,28.4,82.6,341.0
52.8,74.38,55.56,41.83,0.64,18.83,26.5,46.0,117.0
94.53,151.9,68.27,28.38,0.51,50.72,22.0,74.9,195.0
61.15,94.14,38.58,26.53,2.94,63.64,35.8,51.9,147.0
58.42,79.47,50.34,15.75,3.23,38.45,34.1,82.0,146.0
16.27,28.1,76.62,19.74,2.34,71.59,23.0,72.4,78.0
113.63,190.72,49.44,40.81,0.54,55.41,29.2,73.9,211.0
95.46,152.26,41.83,31.66,1.53,72.95,28.8,49.9,198.0
18.75,32.07,52.07,36.5,2.61,53.65,31.3,59.9,79.0
57.37,98.7,77.12,23.17,2.77,19.19,37.0,67.8,164.0
164.41,267.16,40.14,30.21,0.59,31.68,30.4,74.6,301.0
50.73,86.35,28.03,14.94,0.2,24.13,29.7,44.7,98.0
34.63,56.05,68.4,33.22,2.55,73.62,20.9,83.3,104.0
93.21,149.88,76.95,22.1,1.38,63.23,21.1,80.1,197.0
177.56,278.98,22.55,22.7,1.04,57.35,23.4,52.2,320.0
51.15,84.48,32.99,30.97,0.24,31.07,20.6,77.0,108.0
124.26,160.94,25.65,42.45,1.98,22.88,33.4,63.3,229.0
139.48,241.09,41.1,7.56,3.01,62.95,33.0,60.8,299.0
50.4,86.84,48.78,37.99,3.36,43.19,22.4,54.1,143.0
133.8,162.9,71.16,16.7,2.07,25.81,35.0,66.1,252.0
72.52,122.96,63.84,22.76,1.9,53.16,22.8,72.8,170.0
117.49,150.08,61.57,5.88,0.48,12.82,25.4,58.5,217.0
117.7,164.91,41.43,17.04,2.01,32.83,24.5,68.3,226.0
101.08,166.39,78.11,25.11,1.45,42.8,26.7,71.5,223.0
25.35,32.86,50.35,7.25,2.2,20.36,24.6,72.0,78.0
152.0,257.0,88.43,24.64,1.48,78.93,28.8,42.3,312.0
64.53,109.66,62.56,42.08,0.99,24.64,27.3,78.7,148.0
41.71,62.75,24.47,9.22,0.51,19.12,37.8,60.6,81.0
16.93,20.38,65.71,35.58,1.24,24.25,21.0,51.8,62.0
110.45,151.56,39.38,21.39,0.52,63.83,22.6,50.9,199.0
125.19,196.56,66.47,31.21,0.78,39.79,21.0,61.7,246.0
12.82,22.93,20.22,15.41,3.46,49.58,31.3,79.9,59.0
97.06,153.26,28.12,11.38,1.67,11.47,21.0,57.0,187.0
48.5,65.77,79.18,11.42,1.96,12.41,35.1,73.7,130.0
119.68,189.14,32.04,7.82,3.08,41.21,29.2,44.4,259.0
39.64,60.41,77.78,12.43,3.49,67.17,29.5,61.4,128.0
127.46,212.59,35.95,31.57,2.12,71.97,30.1,84.6,260.0
75.75,95.76,63.22,40.27,2.88,16.07,23.1,74.7,177.0
169.24,280.37,67.06,37.57,1.28,47.69,23.6,49.5,337.0
33.38,50.89,53.45,32.41,1.21,73.93,25.7,62.6,77.0
67.98,120.86,37.9,9.42,1.53,37.16,30.7,50.5,148.0
29.29,41.16,30.95,16.57,2.42,68.07,23.8,58.4,85.0
167.2,264.1,17.49,17.39,2.45,19.36,22.1,75.1,328.0
159.15,279.98,37.8,15.0,1.24,75.48,37.5,74.7,326.0
53.85,67.93,63.99,25.6,0.64,62.6,20.4,50.3,112.0
122.2,215.35,85.37,26.42,2.29,75.89,34.4,81.5,267.0
148.93,240.18,80.34,19.28,0.62,57.36,34.2,66.7,293.0
104.38,129.51,72.45,19.15,2.11,35.44,25.3,57.1,220.0
100.04,138.11,74.13,38.14,2.49,75.67,22.4,62.6,218.0
51.11,83.06,64.87,36.57,2.51,29.29,22.6,67.2,135.0
25.83,32.04,34.52,17.31,2.69,33.25,32.6,65.2,89.0
162.53,251.8,83.04,41.55,3.08,59.06,31.6,61.9,345.0
163.07,229.53,65.3,43.11,1.85,63.57,34.1,62.7,308.0
117.63,184.97,57.03,18.07,2.61,75.06,36.9,47.9,254.0
67.64,83.02,23.32,19.18,2.24,24.34,32.5,76.6,147.0
69.37,119.51,48.53,25.23,0.82,65.86,22.8,64.4,154.0
133.41,238.02,49.53,42.64,0.28,61.7,24.4,45.9,260.0
162.51,289.48,79.84,40.05,1.14,14.47,35.2,74.5,330.0
160.8,265.29,56.0,9.1,1.66,37.11,23.8,82.0,326.0
142.58,182.22,43.53,20.71,2.24,29.79,21.3,82.6,264.0
119.15,197.18,88.26,27.13,3.0,31.31,32.7,56.6,275.0
24.3,29.52,23.3,25.13,0.85,78.81,27.2,46.1,49.0
37.48,45.47,46.69,12.75,0.61,54.99,36.6,63.3,86.0
162.75,226.91,18.15,39.35,3.38,60.24,31.7,45.1,315.0
113.09,168.87,70.49,32.08,0.56,78.36,21.6,82.0,226.0
11.56,19.22,83.86,38.52,1.78,36.4,37.1,48.3,69.0
27.25,43.87,36.0,39.35,2.13,66.13,24.7,51.4,78.0
122.8,180.21,79.38,34.93,1.99,40.42,26.1,58.3,262.0
10.86,14.82,36.92,22.57,0.48,70.87,27.2,57.2,43.0
37.34,67.14,83.31,29.42,0.39,22.65,20.9,75.8,102.0
103.28,150.35,71.55,11.41,0.55,76.34,28.9,60.5,198.0
127.62,187.71,75.37,31.95,2.13,25.31,22.2,47.7,262.0
120.83,156.86,16.35,12.17,2.0,32.84,27.2,52.0,225.0
48.13,80.7,87.21,32.76,0.97,62.93,26.3,62.9,120.0
131.07,211.84,69.5,14.18,2.3,37.56,33.9,46.6,286.0
50.33,67.07,37.86,9.7,2.91,52.57,34.5,67.5,129.0
65.32,81.61,77.2,11.61,0.34,41.12,22.8,65.5,118.0
136.9,220.18,36.11,5.08,1.84,61.97,26.6,72.2,273.0
120.44,191.82,80.46,33.75,2.47,25.98,26.7,82.2,261.0
154.37,210.55,23.44,34.3,1.03,14.09,22.7,81.1,273.0
121.79,215.64,67.78,25.6,1.22,31.0,34.4,82.6,253.0
106.61,137.6,55.55,11.45,2.23,43.2,32.7,51.0,220.0
25.92,37.83,22.24,8.34,3.16,21.76,23.4,45.9,94.0
72.51,128.07,33.14,5.77,2.87,34.84,26.6,53.6,177.0
55.08,79.97,15.93,11.63,2.12,38.0,21.9,80.3,121.0
51.48,81.5,50.16,40.63,2.61,14.02,31.3,83.7,135.0
175.41,252.34,37.59,14.66,1.4,50.83,22.2,78.7,322.0
76.83,104.83,59.88,19.17,2.32,71.9,37.7,45.0,168.0
161.65,289.41,37.29,9.21,1.74,20.62,34.1,82.6,329.0
117.29,169.56,37.49,13.89,0.83,51.85,27.0,59.1,220.0
145.12,251.99,70.74,25.77,2.52,56.53,30.4,40.4,320.0
95.45,127.71,18.61,29.31,2.04,39.35,36.4,59.9,192.0
108.07,143.51,82.72,14.81,1.38,59.08,30.0,42.1,214.0
93.73,114.22,78.92,7.31,3.21,38.75,23.1,64.5,215.0
43.19,68.72,65.09,20.64,0.27,45.32,26.8,55.2,93.0
132.82,188.75,59.49,14.37,1.24,10.51,35.2,61.3,258.0
57.73,99.22,81.92,13.78,0.39,58.42,31.6,67.6,130.0
14.13,20.97,28.9,43.39,2.73,56.29,31.7,79.1,60.0
119.73,213.23,20.92,29.65,2.52,12.69,35.6,69.8,255.0
40.11,52.6,32.96,27.28,1.29,35.78,36.1,59.5,77.0
169.88,292.39,74.59,21.63,2.43,78.53,36.6,76.9,347.0
172.17,286.82,17.6,22.16,1.51,39.45,21.7,80.8,327.0
165.53,275.2,58.71,26.64,2.7,45.14,29.8,45.4,343.0
72.93,124.48,89.66,32.86,1.7,73.7,33.3,63.9,175.0
12.63,20.92,79.18,33.09,1.56,60.21,33.6,52.8,57.0
167.81,264.43,54.11,11.87,3.28,50.74,30.9,42.1,342.0
82.79,105.87,19.77,25.0,1.03,65.85,23.0,70.1,154.0
174.33,212.6,77.35,21.48,0.6,70.51,34.4,78.8,310.0
173.82,304.61,59.92,39.82,2.13,41.98,33.0,47.3,356.0
155.01,243.37,23.62,30.26,3.4,43.26,21.6,76.6,322.0
60.06,100.77,22.04,26.3,1.45,37.02,28.3,78.4,132.0
75.47,112.36,83.22,9.62,0.4,77.67,23.1,81.1,154.0
154.69,196.52,65.19,29.23,1.32,58.8,26.1,51.9,283.0
63.88,81.45,77.2,9.69,1.87,15.83,20.3,80.7,141.0
38.81,62.54,80.92,18.49,0.73,70.41,27.2,54.4,100.0
104.66,152.61,57.88,10.71,2.37,43.64,29.9,64.9,228.0
169.15,223.33,53.81,32.68,3.49,14.81,31.2,42.3,337.0
128.33,191.84,47.28,13.25,1.69,48.48,31.9,42.0,259.0
106.91,132.41,38.77,20.67,1.37,39.2,35.1,72.4,197.0
26.52,41.08,47.59,40.83,1.52,71.44,23.9,60.0,85.0
114.55,155.95,73.04,13.17,0.58,24.28,22.2,51.5,216.0
178.31,299.3,60.14,25.31,3.11,67.85,35.3,48.6,379.0
33.81,46.87,81.94,21.77,1.57,49.04,22.8,70.1,99.0
98.12,144.54,48.25,5.72,1.48,13.82,37.5,40.0,201.0
159.15,192.09,60.53,36.71,2.38,78.03,35.2,76.3,306.0
135.93,169.03,62.35,7.76,1.66,45.88,29.0,43.6,255.0
128.49,184.45,59.38,23.97,2.34,30.36,37.7,48.6,262.0
129.42,192.58,67.7,27.43,0.4,42.86,21.8,57.4,251.0
71.11,110.94,32.81,30.14,2.89,70.05,25.5,61.8,166.0
59.91,82.38,53.43,32.55,3.3,31.34,31.5,56.0,148.0
147.59,238.65,22.82,15.13,2.34,23.49,26.3,54.4,303.0
147.72,253.5,43.84,5.4,3.35,19.03,36.7,83.4,315.0
157.4,262.53,51.58,33.94,0.7,30.85,21.2,68.9,303.0
165.25,202.23,63.92,26.43,1.78,64.6,29.9,41.1,309.0
96.93,144.26,86.29,38.44,2.19,43.01,30.6,59.4,213.0
95.26,120.31,60.05,37.86,2.12,25.92,31.7,79.4,191.0
145.71,196.01,70.77,38.73,1.52,21.63,24.6,53.6,279.0
120.49,215.92,52.97,24.4,1.32,33.29,26.6,44.3,242.0
129.33,166.26,62.56,18.35,0.62,75.79,35.2,74.1,234.0
145.28,217.83,20.32,36.66,1.49,34.01,23.5,67.3,272.0
161.3,253.39,34.08,23.05,0.74,79.17,34.9,65.7,297.0
67.46,109.38,42.14,12.34,2.62,43.97,30.1,42.4,154.0
73.85,113.42,50.44,39.2,0.89,22.54,33.7,46.3,160.0
25.98,31.32,18.42,40.3,0.39,72.38,32.8,68.0,52.0
108.31,151.18,25.5,23.65,2.02,42.22,23.7,49.4,219.0
16.11,24.34,35.76,8.03,2.16,59.68,30.2,62.7,63.0
89.15,111.68,87.86,20.51,3.08,78.86,35.6,64.5,202.0
102.25,144.21,39.85,37.14,2.1,13.51,27.8,52.8,209.0
58.71,71.62,51.15,41.07,1.34,16.77,37.4,82.7,124.0
110.44,137.74,29.71,13.14,2.85,60.43,28.1,77.9,214.0
15.19,21.84,60.81,7.68,1.98,29.73,22.6,72.5,75.0
16.35,20.92,36.05,40.09,0.46,22.9,27.0,43.5,40.0
149.84,230.84,30.52,20.58,2.07,12.76,37.1,44.8,282.0
71.23,114.95,53.74,26.67,3.2,11.53,25.8,62.2,185.0
31.6,53.1,15.41,43.72,1.51,64.21,35.6,47.2,76.0
98.78,130.4,15.57,7.66,1.18,19.41,35.9,84.0,177.0
140.9,183.24,31.43,30.93,0.67,42.74,26.3,47.1,237.0
46.69,58.96,17.75,7.96,0.7,52.41,21.5,61.9,97.0
115.89,183.32,23.1,20.02,1.63,39.98,33.0,56.4,221.0
24.51,39.8,40.41,37.15,2.17,11.9,25.6,68.8,81.0
18.79,22.9,75.19,22.34,0.47,64.85,34.1,45.8,63.0
100.33,176.75,57.9,44.89,3.3,10.74,28.0,59.4,240.0
101.91,125.47,53.45,27.36,2.69,63.33,28.7,52.4,210.0
118.36,180.48,37.01,17.85,2.14,72.53,34.0,79.9,231.0
133.44,216.89,84.88,13.8,2.93,40.3,26.9,41.8,290.0
175.89,302.99,44.78,19.02,0.46,47.49,28.0,81.1,335.0
97.77,159.22,21.53,19.9,1.77,43.39,26.8,77.5,195.0
64.9,109.1,61.28,7.75,2.28,37.24,26.6,53.4,162.0
145.18,203.79,23.54,19.78,2.93,72.12,29.5,75.5,287.0
56.04,94.65,40.89,23.57,2.79,72.58,34.6,41.4,150.0
84.63,105.62,53.06,33.91,1.11,33.51,26.5,83.5,158.0
23.34,40.53,80.57,31.27,3.3,53.05,29.4,63.7,117.0
14.31,21.87,52.02,33.35,0.61,74.88,32.1,53.6,51.0
173.65,293.53,67.67,5.33,3.09,77.34,24.8,56.3,366.0
152.12,223.82,89.46,13.71,3.4,45.63,25.0,43.0,330.0
128.32,203.53,24.86,31.47,0.78,41.7,36.8,84.5,251.0
79.52,120.54,35.6,24.36,2.58,29.51,33.0,41.8,170.0
39.46,64.67,44.59,5.21,0.33,77.12,30.4,69.5,86.0
36.59,45.71,46.64,37.18,1.54,20.0,31.7,59.9,79.0
52.54,64.95,45.83,35.91,1.9,50.59,20.5,82.7,121.0
103.37,139.37,83.07,26.94,2.12,29.78,31.1,51.1,222.0
131.48,170.36,68.55,7.66,3.29,29.53,29.2,63.9,273.0
122.23,210.62,60.59,35.66,2.42,38.35,29.8,61.7,263.0
57.59,76.68,38.2,28.35,1.79,79.92,26.5,71.6,117.0
172.33,307.69,76.78,36.28,2.87,13.85,21.5,43.1,372.0
135.44,189.91,86.63,35.07,3.34,50.5,23.5,48.7,298.0
104.24,136.48,76.59,37.12,0.27,15.78,37.1,49.7,193.0
113.99,190.8,15.12,25.72,3.44,20.82,27.4,73.2,250.0
81.33,129.74,62.73,10.61,0.48,40.77,28.4,48.5,158.0
52.11,78.11,18.84,31.85,2.89,45.73,20.9,65.8,131.0
70.52,108.12,34.32,29.82,1.13,28.12,20.7,49.7,143.0
138.83,226.51,19.46,34.69,0.64,32.15,32.9,78.8,253.0
12.45,16.64,60.28,11.8,1.65,16.09,29.7,82.4,54.0
29.73,53.45,66.49,12.8,2.33,31.23,29.2,63.3,100.0
17.82,31.81,23.59,40.62,1.46,77.66,24.4,55.9,59.0
16.92,26.91,43.79,35.0,0.38,76.13,33.4,50.5,41.0
155.43,205.12,49.22,41.33,2.18,33.44,23.0,42.2,292.0
129.62,208.45,42.68,35.35,3.18,49.96,23.4,52.1,277.0
90.61,112.66,24.08,28.89,1.46,73.67,28.3,69.4,164.0
26.63,32.45,46.42,31.17,0.91,10.43,25.2,64.0,76.0
93.57,126.76,71.34,40.57,1.66,66.75,24.5,82.5,191.0
90.49,133.71,20.33,28.15,0.36,76.39,31.6,57.8,160.0
39.44,67.88,21.01,30.3,2.91,16.39,31.7,71.2,107.0
83.75,137.05,41.61,11.26,2.93,21.3,34.8,62.0,204.0
77.75,127.94,85.63,23.96,2.14,77.25,27.5,63.1,191.0
114.69,166.91,65.14,33.66,1.37,47.63,21.3,52.0,224.0
117.97,166.04,65.9,15.84,2.84,10.99,24.9,60.5,256.0
17.7,25.18,42.14,13.09,2.03,28.03,37.6,61.2,68.0
73.68,132.09,59.52,17.55,2.93,41.5,30.7,71.8,188.0
116.4,142.48,15.76,14.66,2.28,58.5,32.8,82.3,215.0
95.53,164.34,62.71,13.6,2.79,61.32,20.1,54.8,219.0
155.6,240.75,83.5,21.99,2.18,79.68,29.3,41.9,320.0
121.98,178.47,60.94,41.31,1.57,30.13,20.7,62.3,240.0
37.7,61.64,80.53,25.28,3.36,47.68,30.2,64.5,140.0
22.0,32.82,69.3,12.52,1.99,47.33,36.6,47.6,76.0
119.21,205.53,24.04,8.08,2.2,38.4,37.4,74.2,255.0
14.51,25.25,82.68,32.85,0.93,21.84,29.7,84.3,61.0
109.58,159.23,19.98,20.31,2.26,78.42,28.2,82.6,219.0
169.84,232.02,55.05,37.87,2.09,69.73,37.0,48.9,325.0
107.83,167.72,25.66,31.38,0.81,44.88,32.1,79.4,200.0
75.99,132.78,15.88,36.85,0.4,52.23,21.2,71.7,151.0
119.36,158.32,46.65,15.88,2.19,25.91,28.4,60.4,221.0
87.9,138.34,37.13,32.69,2.72,48.07,24.3,64.3,192.0
102.75,162.24,51.45,15.56,1.93,58.65,28.5,78.2,212.0
170.05,278.86,58.29,42.56,0.95,46.06,28.2,61.6,321.0
75.64,96.74,18.28,30.45,2.4,79.32,30.5,56.8,155.0
173.4,282.56,24.23,17.98,0.46,52.79,26.4,62.2,319.0
163.91,286.09,56.9,15.78,1.66,35.97,23.0,66.1,335.0
43.28,56.61,40.74,12.64,0.74,64.05,29.1,48.5,93.0
21.79,29.26,69.69,32.79,0.81,21.93,34.9,80.5,63.0
27.13,48.37,63.92,13.75,0.87,36.92,32.0,70.3,81.0
13.1,17.14,78.42,28.81,1.48,34.29,26.1,68.5,63.0
26.06,44.62,66.94,15.59,0.37,40.23,36.8,44.5,76.0
126.11,188.58,47.24,31.48,1.51,64.72,36.4,67.2,250.0
22.1,29.8,65.47,37.6,1.89,43.89,23.8,45.4,79.0
64.23,110.63,35.65,36.12,1.79,65.58,20.7,43.5,143.0
153.63,225.4,37.97,35.43,1.46,50.35,33.3,63.7,285.0
13.96,21.06,74.17,12.51,2.97,33.94,34.9,58.1,79.0
148.46,210.15,48.48,8.54,0.68,66.7,37.4,66.5,268.0
57.92,90.1,74.88,32.96,1.87,26.68,36.0,44.0,146.0
30.09,39.06,76.68,19.73,0.4,25.71,30.8,59.4,80.0
128.45,184.27,79.32,22.29,0.43,45.32,29.5,47.9,244.0
116.92,208.31,83.75,6.25,2.09,28.26,20.5,84.4,262.0
159.17,215.66,47.32,15.38,2.07,10.64,24.4,65.3,301.0
134.96,215.14,38.92,6.35,3.1,55.38,28.3,70.9,281.0
146.59,204.51,58.66,40.17,2.04,45.78,31.3,54.6,281.0
